,simulation_ts,lat_val,lng_val,soc_val,prob_val,state_val,tocharge_val
279106,2019-07-01 08:36:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
281069,2019-07-01 08:37:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
283096,2019-07-01 08:38:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
285074,2019-07-01 08:39:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
286916,2019-07-01 08:40:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
287673,2019-07-01 08:41:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
289674,2019-07-01 08:42:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
291312,2019-07-01 08:43:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
292955,2019-07-01 08:44:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
294948,2019-07-01 08:45:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
296927,2019-07-01 08:46:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
299443,2019-07-01 08:47:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
300774,2019-07-01 08:48:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
301491,2019-07-01 08:49:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
303455,2019-07-01 08:50:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
305089,2019-07-01 08:51:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
306748,2019-07-01 08:52:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
308729,2019-07-01 08:53:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
310720,2019-07-01 08:54:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
313216,2019-07-01 08:55:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
314518,2019-07-01 08:56:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
315221,2019-07-01 08:57:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
317200,2019-07-01 08:58:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
318843,2019-07-01 08:59:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
320482,2019-07-01 09:00:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
322453,2019-07-01 09:01:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
324411,2019-07-01 09:02:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
326346,2019-07-01 09:03:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
328197,2019-07-01 09:04:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
328910,2019-07-01 09:05:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
330866,2019-07-01 09:06:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
332496,2019-07-01 09:07:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
334145,2019-07-01 09:08:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
336083,2019-07-01 09:09:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
338034,2019-07-01 09:10:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
340515,2019-07-01 09:11:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
341816,2019-07-01 09:12:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
342536,2019-07-01 09:13:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
344453,2019-07-01 09:14:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
346079,2019-07-01 09:15:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
347681,2019-07-01 09:16:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
349643,2019-07-01 09:17:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
351582,2019-07-01 09:18:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
354048,2019-07-01 09:19:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
355319,2019-07-01 09:20:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
355998,2019-07-01 09:21:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
357946,2019-07-01 09:22:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
359547,2019-07-01 09:23:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
361139,2019-07-01 09:24:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
363042,2019-07-01 09:25:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
364979,2019-07-01 09:26:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
366870,2019-07-01 09:27:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
368650,2019-07-01 09:28:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
369366,2019-07-01 09:29:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
371251,2019-07-01 09:30:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
372855,2019-07-01 09:31:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
374403,2019-07-01 09:32:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
376315,2019-07-01 09:33:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
378191,2019-07-01 09:34:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
380652,2019-07-01 09:35:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
